Title,Link,"Tag (to add more than one, duplicate the row)",Last updated,Content type,Content sub-type,link_title,link_content_id,link_type,Policies,Collections,Withdrawn,12-month timeline,201412,201501,201502,201503,201504,201505,201506,201507,201508,201509,201510,201511,Total unique pageviews,Highest month,Lowest month,Monthly average,Monthly median,Recommendation,Redirect/combine with which content url,Notes,Changes live yet?,Status code,Redirecting
Childcare Bill: policy statement,https://www.gov.uk/government/publications/childcare-bill-policy-statement,,02/07/2015,Publication,Policy paper,,,department-for-education,childcare-and-early-education,/government/collections/childcare-bill,,,,,,,,,,"2,216",447,587,"4,847","1,299","9,396","4,847",447,783,"1,299",current - no work needed,,,N/A,200,
Progress check at age 2 and EYFS profile,https://www.gov.uk/guidance/progress-check-at-age-2-and-eyfs-profile,,25/03/2014,Detailed guidance,Detailed guide,"schools-colleges-childrens-services/exams-testing-assessment, schools-colleges-childrens-services/early-years",,department-for-education,childcare-and-early-education,/government/collections/early-learning-and-childcare-guidance-for-early-years-providers,,,"2,451","4,222","3,867","4,817","4,249","3,559","2,908","2,516","2,000","3,094","3,219","3,317","40,219","4,817","2,000","3,352","3,268",duplicate - combine and redirect this item to another item that also belongs to your organisation,https://www.gov.uk/government/publications/early-years-foundation-stage-framework--2,The information on this guide is included in the EYFSP handbook. A user who reads the handbook won't need to read this guidance page as well. So we should take down the guidance page and redirect it ot the handbook.,Yes,302,https://www.gov.uk/government/publications/early-years-foundation-stage-framework--2
SEND: guide for parents and carers,https://www.gov.uk/government/publications/send-guide-for-parents-and-carers,,26/03/2015,Publication,Guidance,schools-colleges-childrens-services/special-educational-needs-disabilities,,department-for-education,special-educational-needs-and-disability-send,,,,"3,026","3,581","3,250","4,744","4,612","3,162","3,090","2,536","1,702","3,454","3,720","3,361","40,238","4,744","1,702","3,353","3,306",current - no work needed,,,N/A,200,
New Year Honours list 2015: education and children’s services,https://www.gov.uk/government/news/new-year-honours-list-2015-education-and-childrens-services,,31/12/2014,News article,News story,,,department-for-education,,,,,"1,032","4,700",298,238,143,137,258,115,70,99,116,68,"7,274","4,700",68,606,140,current - no work needed,,,N/A,200,
2016 Early years foundation stage: assessment and reporting arrangements (ARA),https://www.gov.uk/guidance/2016-early-years-foundation-stage-assessment-and-reporting-arrangements-ara,,06/11/2015,Manual,,,,standards-and-testing-agency,,,,,,,,,,,,,,"1,452","4,598","2,941","8,991","4,598","1,452",749,"2,941",,,,,200,
Inspecting early years providers - guidance for inspectors,https://www.gov.uk/government/publications/conducting-early-years-inspections,,22/05/2015,Publication,Guidance,,,ofsted,,"Ofsted's inspection of early years providers, Ofsted's inspection of early years providers, Ofsted inspection of early years providers, Ofsted inspection of early years providers, Ofsted inspections of early years providers, Early years and childcare inspections: resources for inspectors and other organisations",withdrawn,,"1,024","4,592","3,822","3,937","2,846","2,813","1,764",843,492,794,744,684,"24,355","4,592",492,"2,030","1,394",current - no work needed,,,,200,
Early years foundation stage framework: until 31 August 2014,https://www.gov.uk/government/publications/early-years-foundation-stage-framework,,01/09/2014,Publication,Statutory guidance,schools-colleges-childrens-services/early-years,,department-for-education,,"Early years foundation stage, Statutory guidance: schools, Children’s social care and childcare guidance, Statutory guidance: schools, Statutory guidance: schools, Early years and childcare guidance, Early years and childcare guidance, Statutory guidance: schools, Statutory guidance: schools, Statutory guidance: schools, Statutory guidance: schools, Early years and childcare guidance, Statutory guidance: schools, Early years and childcare guidance, Statutory guidance: schools, Early years and childcare: guidance and advice, Statutory guidance: schools, Schools: statutory guidance, Schools: statutory guidance, Schools: statutory guidance, Early learning and childcare: guidance for early years providers, Early years and childcare: guidance and advice, Early learning and childcare: guidance for providers, Schools: statutory guidance, Early learning and childcare: guidance for providers, Schools: statutory guidance, Schools: statutory guidance, Schools: statutory guidance, Schools: statutory guidance, Schools: statutory guidance, Early learning and childcare: guidance for providers, Schools: statutory guidance, Schools: statutory guidance, Schools: statutory guidance, Schools: statutory guidance, Early learning and childcare: guidance for providers, Schools: statutory guidance, Schools: statutory guidance, Schools: statutory guidance, Schools: statutory guidance, Schools: statutory guidance, Schools: statutory guidance, Schools: statutory guidance, Schools: statutory guidance, Schools: statutory guidance, Schools: statutory guidance, Schools: statutory guidance, Schools: statutory guidance, Schools: statutory guidance, Early learning and childcare: guidance for providers, Schools: statutory guidance",withdrawn,,"3,182","4,078","3,116","4,541","4,116","3,780","2,678","2,135","1,435","2,357","2,462","2,470","36,350","4,541","1,435","3,029","2,897",out of date - redirect to current version,https://www.gov.uk/government/publications/early-years-foundation-stage-framework--2,"I suggest we redirect to the new version of the EYFS framework. Leaving an old version live can only be risky, and anyone who needs to refer to the old version can find it in the national archives.",Yes,302,https://www.gov.uk/government/publications/early-years-foundation-stage-framework--2
Ofsted to inspect early years initial teacher training,https://www.gov.uk/government/news/ofsted-to-inspect-early-years-initial-teacher-training,,21/01/2015,News article,Press release,,,ofsted,,,,,,"4,511","1,353",138,53,73,36,37,16,13,15,23,"6,268","4,511",13,522,37,current - no work needed,,,,200,
£31.7 million boost for ‘life-changing’ SEND reforms,https://www.gov.uk/government/news/317-million-boost-for-life-changing-send-reforms,,17/12/2014,News article,Press release,,,department-for-education,special-educational-needs-and-disability-send,,,,"4,391","1,755",253,156,91,66,56,75,57,44,67,39,"7,050","4,391",39,588,71,current - no work needed,,,N/A,200,
Children and young people's workforce apprenticeships,https://www.gov.uk/guidance/children-and-young-peoples-workforce-apprenticeships,,12/04/2012,Detailed guidance,Detailed guide,,,skills-funding-agency,further-education-and-training,/government/collections/health-public-services-and-care-apprenticeships,,,799,"4,374","3,118","3,567","2,573","2,465","2,608","2,417","2,198","2,408","1,835","2,287","30,649","4,374",799,"2,554","2,441",,,,,200,
Ofsted's early years report 2015 is published,https://www.gov.uk/government/news/ofsteds-early-years-report-2015-is-published,,13/07/2015,News article,News story,,,ofsted,,,,,,,,,,,,"4,281",191,176,75,59,"4,782","4,281",59,398,176,duplicate - combine and redirect this item to another item that also belongs to your organisation,https://www.gov.uk/government/publications/ofsted-early-years-report-2015,"unnecessary duplication. Incorporate links (speech, press release, case studies) into report page.",,302,https://www.gov.uk/government/publications/ofsted-early-years-report-2015
Childcare Register requirements for childminders and home childcarers,https://www.gov.uk/government/publications/childcare-register-requirements-childminders-and-home-childcarers,,20/08/2014,Publication,Guidance,,,ofsted,,/government/collections/ofsted-inspections-of-registered-childcare-providers,,,976,"4,244","3,453","3,513","2,819","2,905","3,224","2,830","2,527","3,308","2,979","2,506","35,284","4,244",976,"2,940","2,942",out of date - redirect to current version,https://www.gov.uk/government/publications/become-a-registered-early-years-or-childcare-provider-in-england,Now amalgamated into handbook.,,302,https://www.gov.uk/government/publications/become-a-registered-early-years-or-childcare-provider-in-england
HMCI's monthly commentary: October 2015,https://www.gov.uk/government/speeches/hmcis-monthly-commentary-october-2015,,27/10/2015,Speech,Speech,,,ofsted,,,,,,,,,,,,,,,"4,217","3,926","8,143","4,217","3,926",679,"4,072",current - no work needed,,,,200,
Childcare Register requirements for childcare providers on non-domestic or domestic premises,https://www.gov.uk/government/publications/childcare-register-requirements-childcare-providers-on-non-domestic-or-domestic-premises,,20/08/2014,Publication,Guidance,,,ofsted,,/government/collections/ofsted-inspections-of-registered-childcare-providers,,,901,"3,222","2,891","3,243","2,722","3,416","4,146","3,804","3,209","4,144","3,927","3,631","39,256","4,146",901,"3,271","3,330",out of date - redirect to current version,https://www.gov.uk/government/publications/become-a-registered-early-years-or-childcare-provider-in-england,Now amalgamated into handbook.,,302,https://www.gov.uk/government/publications/become-a-registered-early-years-or-childcare-provider-in-england
Sure Start children's centres: local authorities' duties,https://www.gov.uk/guidance/sure-start-childrens-centres-local-authorities-duties,,25/03/2014,Detailed guidance,Detailed guide,,,department-for-education,,/government/collections/early-learning-and-childcare-guidance-for-early-years-providers,,,"2,896","4,138","3,459","3,902","3,814","3,987","2,988","2,456","1,999","2,681","2,980","3,197","38,497","4,138","1,999","3,208","3,092",duplicate - combine and redirect this item to another item that also belongs to your organisation,https://www.gov.uk/government/publications/sure-start-childrens-centres,"The info on this guide is largely a duplicate of the advice in the statutory guidance document. If LAs read the stat guidance, they don't need to read this guide as well. I suggest we redirect it to the stat guidance for this reason.",Yes,302,#ERROR!
Employing someone to work in your home,https://www.gov.uk/au-pairs-employment-law,,28/01/2015,Guide,,,"childcare-parenting/childcare, tax/income-tax, working/contract-working-hours","department-for-business-innovation-skills, department-for-work-pensions, hm-revenue-customs",,,,,"1,557","2,927","2,489","2,600","2,213","2,232","2,364","3,259","3,655","3,975","4,105","4,137","35,513","4,137","1,557","2,959","2,764",,,,,200,
Department for Education – Complaints procedure,https://www.gov.uk/government/organisations/department-for-education/about/complaints-procedure,,31/03/2014,Corporate information page,Corporate information,,,department-for-education,,,,,"1,686","2,362","2,374","3,108","2,159","2,819","3,258","2,824","1,367","3,255","3,552","4,027","32,791","4,027","1,367","2,733","2,822",not relevant to topic - remove from list,,This is corporate information about DfE. It's not really about early years. Remove from list.,N/A,200,
